"id","day","date","treatment","tank","thicket","hole_in_center_REFERENCE","polyp_in_hole_RESCORED","rescorer","rescore_notes"
116,0,"2025-06-04",31,11,"c","no","","",""
116,1,"2025-06-05",31,11,"c","no","","",""
116,2,"2025-06-06",31,11,"c","no","","",""
116,3,"2025-06-07",31,11,"c","no","","",""
116,4,"2025-06-08",31,11,"c","no","","",""
116,5,"2025-06-09",31,11,"c","no","","",""
116,6,"2025-06-10",31,11,"c","no","","",""
116,7,"2025-06-11",31,11,"c","no","","",""
116,8,"2025-06-12",31,11,"c","no","","",""
116,9,"2025-06-13",31,11,"c","yes","","",""
116,10,"2025-06-14",31,11,"c","yes","","",""
116,11,"2025-06-15",31,11,"c","yes","","",""
116,12,"2025-06-16",31,11,"c","yes","","",""
116,13,"2025-06-17",31,11,"c","yes","","",""
116,14,"2025-06-18",31,11,"c","yes","","",""
116,15,"2025-06-19",31,11,"c","yes","","",""
117,0,"2025-06-04",28,6,"c","no","","",""
117,1,"2025-06-05",28,6,"c","no","","",""
117,2,"2025-06-06",28,6,"c","no","","",""
117,3,"2025-06-07",28,6,"c","no","","",""
117,4,"2025-06-08",28,6,"c","yes","","",""
117,5,"2025-06-09",28,6,"c","yes","","",""
117,6,"2025-06-10",28,6,"c","yes","","",""
117,7,"2025-06-11",28,6,"c","yes","","",""
117,8,"2025-06-12",28,6,"c","yes","","",""
117,9,"2025-06-13",28,6,"c","yes","","",""
117,10,"2025-06-14",28,6,"c","yes","","",""
117,11,"2025-06-15",28,6,"c","yes","","",""
117,12,"2025-06-16",28,6,"c","yes","","",""
117,13,"2025-06-17",28,6,"c","yes","","",""
117,14,"2025-06-18",28,6,"c","yes","","",""
117,15,"2025-06-19",28,6,"c","yes","","",""
118,0,"2025-06-04",28,9,"d","no","","",""
118,1,"2025-06-05",28,9,"d","no","","",""
118,2,"2025-06-06",28,9,"d","no","","",""
118,3,"2025-06-07",28,9,"d","yes","","",""
118,4,"2025-06-08",28,9,"d","yes","","",""
118,5,"2025-06-09",28,9,"d","yes","","",""
118,6,"2025-06-10",28,9,"d","yes","","",""
118,7,"2025-06-11",28,9,"d","yes","","",""
118,8,"2025-06-12",28,9,"d","yes","","",""
118,9,"2025-06-13",28,9,"d","yes","","",""
118,10,"2025-06-14",28,9,"d","yes","","",""
118,11,"2025-06-15",28,9,"d","yes","","",""
118,12,"2025-06-16",28,9,"d","yes","","",""
118,13,"2025-06-17",28,9,"d","yes","","",""
118,14,"2025-06-18",28,9,"d","yes","","",""
118,15,"2025-06-19",28,9,"d","yes","","",""
119,0,"2025-06-04",31,10,"c","no","","",""
119,1,"2025-06-05",31,10,"c","no","","",""
119,2,"2025-06-06",31,10,"c","no","","",""
119,3,"2025-06-07",31,10,"c","yes","","",""
119,4,"2025-06-08",31,10,"c","yes","","",""
119,5,"2025-06-09",31,10,"c","yes","","",""
119,6,"2025-06-10",31,10,"c","yes","","",""
119,7,"2025-06-11",31,10,"c","yes","","",""
119,8,"2025-06-12",31,10,"c","yes","","",""
119,9,"2025-06-13",31,10,"c","yes","","",""
119,10,"2025-06-14",31,10,"c","yes","","",""
119,11,"2025-06-15",31,10,"c","yes","","",""
119,12,"2025-06-16",31,10,"c","yes","","",""
119,13,"2025-06-17",31,10,"c","yes","","",""
119,14,"2025-06-18",31,10,"c","yes","","",""
119,15,"2025-06-19",31,10,"c","yes","","",""
121,0,"2025-06-04",28,9,"c","no","","",""
121,1,"2025-06-05",28,9,"c","no","","",""
121,2,"2025-06-06",28,9,"c","no","","",""
121,3,"2025-06-07",28,9,"c","no","","",""
121,4,"2025-06-08",28,9,"c","no","","",""
121,5,"2025-06-09",28,9,"c","no","","",""
121,6,"2025-06-10",28,9,"c","no","","",""
121,7,"2025-06-11",28,9,"c","no","","",""
121,8,"2025-06-12",28,9,"c","no","","",""
121,9,"2025-06-13",28,9,"c","yes","","",""
121,10,"2025-06-14",28,9,"c","yes","","",""
121,11,"2025-06-15",28,9,"c","yes","","",""
121,12,"2025-06-16",28,9,"c","yes","","",""
121,13,"2025-06-17",28,9,"c","yes","","",""
121,14,"2025-06-18",28,9,"c","yes","","",""
121,15,"2025-06-19",28,9,"c","yes","","",""
126,0,"2025-06-04",31,5,"d","no","","",""
126,1,"2025-06-05",31,5,"d","no","","",""
126,2,"2025-06-06",31,5,"d","no","","",""
126,3,"2025-06-07",31,5,"d","no","","",""
126,4,"2025-06-08",31,5,"d","yes","","",""
126,5,"2025-06-09",31,5,"d","yes","","",""
126,6,"2025-06-10",31,5,"d","yes","","",""
126,7,"2025-06-11",31,5,"d","yes","","",""
126,8,"2025-06-12",31,5,"d","yes","","",""
126,9,"2025-06-13",31,5,"d","yes","","",""
126,10,"2025-06-14",31,5,"d","yes","","",""
126,11,"2025-06-15",31,5,"d","yes","","",""
126,12,"2025-06-16",31,5,"d","yes","","",""
126,13,"2025-06-17",31,5,"d","yes","","",""
126,14,"2025-06-18",31,5,"d","yes","","",""
126,15,"2025-06-19",31,5,"d","yes","","",""
129,0,"2025-06-04",28,3,"c","no","","",""
129,1,"2025-06-05",28,3,"c","no","","",""
129,2,"2025-06-06",28,3,"c","no","","",""
129,3,"2025-06-07",28,3,"c","yes","","",""
129,4,"2025-06-08",28,3,"c","yes","","",""
129,5,"2025-06-09",28,3,"c","yes","","",""
129,6,"2025-06-10",28,3,"c","yes","","",""
129,7,"2025-06-11",28,3,"c","yes","","",""
129,8,"2025-06-12",28,3,"c","yes","","",""
129,9,"2025-06-13",28,3,"c","yes","","",""
129,10,"2025-06-14",28,3,"c","yes","","",""
129,11,"2025-06-15",28,3,"c","yes","","",""
129,12,"2025-06-16",28,3,"c","yes","","",""
129,13,"2025-06-17",28,3,"c","yes","","",""
129,14,"2025-06-18",28,3,"c","yes","","",""
129,15,"2025-06-19",28,3,"c","yes","","",""
130,0,"2025-06-04",28,12,"c","no","","",""
130,1,"2025-06-05",28,12,"c","no","","",""
130,2,"2025-06-06",28,12,"c","no","","",""
130,3,"2025-06-07",28,12,"c","yes","","",""
130,4,"2025-06-08",28,12,"c","yes","","",""
130,5,"2025-06-09",28,12,"c","yes","","",""
130,6,"2025-06-10",28,12,"c","yes","","",""
130,7,"2025-06-11",28,12,"c","yes","","",""
130,8,"2025-06-12",28,12,"c","yes","","",""
130,9,"2025-06-13",28,12,"c","yes","","",""
130,10,"2025-06-14",28,12,"c","yes","","",""
130,11,"2025-06-15",28,12,"c","yes","","",""
130,12,"2025-06-16",28,12,"c","yes","","",""
130,13,"2025-06-17",28,12,"c","yes","","",""
130,14,"2025-06-18",28,12,"c","yes","","",""
130,15,"2025-06-19",28,12,"c","yes","","",""
133,0,"2025-06-04",31,4,"c","no","","",""
133,1,"2025-06-05",31,4,"c","no","","",""
133,2,"2025-06-06",31,4,"c","no","","",""
133,3,"2025-06-07",31,4,"c","yes","","",""
133,4,"2025-06-08",31,4,"c","yes","","",""
133,5,"2025-06-09",31,4,"c","yes","","",""
133,6,"2025-06-10",31,4,"c","yes","","",""
133,7,"2025-06-11",31,4,"c","yes","","",""
133,8,"2025-06-12",31,4,"c","yes","","",""
133,9,"2025-06-13",31,4,"c","yes","","",""
133,10,"2025-06-14",31,4,"c","yes","","",""
133,11,"2025-06-15",31,4,"c","yes","","",""
133,12,"2025-06-16",31,4,"c","yes","","",""
133,13,"2025-06-17",31,4,"c","yes","","",""
133,14,"2025-06-18",31,4,"c","yes","","",""
133,15,"2025-06-19",31,4,"c","yes","","",""
143,0,"2025-06-04",31,4,"d","no","","",""
143,1,"2025-06-05",31,4,"d","no","","",""
143,2,"2025-06-06",31,4,"d","no","","",""
143,3,"2025-06-07",31,4,"d","yes","","",""
143,4,"2025-06-08",31,4,"d","yes","","",""
143,5,"2025-06-09",31,4,"d","yes","","",""
143,6,"2025-06-10",31,4,"d","yes","","",""
143,7,"2025-06-11",31,4,"d","yes","","",""
143,8,"2025-06-12",31,4,"d","yes","","",""
143,9,"2025-06-13",31,4,"d","yes","","",""
143,10,"2025-06-14",31,4,"d","yes","","",""
143,11,"2025-06-15",31,4,"d","yes","","",""
143,12,"2025-06-16",31,4,"d","yes","","",""
143,13,"2025-06-17",31,4,"d","yes","","",""
143,14,"2025-06-18",31,4,"d","yes","","",""
143,15,"2025-06-19",31,4,"d","yes","","",""
144,0,"2025-06-04",28,12,"d","no","","",""
144,1,"2025-06-05",28,12,"d","no","","",""
144,2,"2025-06-06",28,12,"d","no","","",""
144,3,"2025-06-07",28,12,"d","no","","",""
144,4,"2025-06-08",28,12,"d","no","","",""
144,5,"2025-06-09",28,12,"d","no","","",""
144,6,"2025-06-10",28,12,"d","yes","","",""
144,7,"2025-06-11",28,12,"d","yes","","",""
144,8,"2025-06-12",28,12,"d","yes","","",""
144,9,"2025-06-13",28,12,"d","yes","","",""
144,10,"2025-06-14",28,12,"d","yes","","",""
144,11,"2025-06-15",28,12,"d","yes","","",""
144,12,"2025-06-16",28,12,"d","yes","","",""
144,13,"2025-06-17",28,12,"d","yes","","",""
144,14,"2025-06-18",28,12,"d","yes","","",""
144,15,"2025-06-19",28,12,"d","yes","","",""
146,0,"2025-06-04",28,6,"d","no","","",""
146,1,"2025-06-05",28,6,"d","no","","",""
146,2,"2025-06-06",28,6,"d","no","","",""
146,3,"2025-06-07",28,6,"d","no","","",""
146,4,"2025-06-08",28,6,"d","yes","","",""
146,5,"2025-06-09",28,6,"d","yes","","",""
146,6,"2025-06-10",28,6,"d","yes","","",""
146,7,"2025-06-11",28,6,"d","yes","","",""
146,8,"2025-06-12",28,6,"d","yes","","",""
146,9,"2025-06-13",28,6,"d","yes","","",""
146,10,"2025-06-14",28,6,"d","yes","","",""
146,11,"2025-06-15",28,6,"d","yes","","",""
146,12,"2025-06-16",28,6,"d","yes","","",""
146,13,"2025-06-17",28,6,"d","yes","","",""
146,14,"2025-06-18",28,6,"d","yes","","",""
146,15,"2025-06-19",28,6,"d","yes","","",""
149,0,"2025-06-04",31,11,"d","no","","",""
149,1,"2025-06-05",31,11,"d","no","","",""
149,2,"2025-06-06",31,11,"d","no","","",""
149,3,"2025-06-07",31,11,"d","yes","","",""
149,4,"2025-06-08",31,11,"d","yes","","",""
149,5,"2025-06-09",31,11,"d","yes","","",""
149,6,"2025-06-10",31,11,"d","yes","","",""
149,7,"2025-06-11",31,11,"d","yes","","",""
149,8,"2025-06-12",31,11,"d","yes","","",""
149,9,"2025-06-13",31,11,"d","yes","","",""
149,10,"2025-06-14",31,11,"d","yes","","",""
149,11,"2025-06-15",31,11,"d","yes","","",""
149,12,"2025-06-16",31,11,"d","yes","","",""
149,13,"2025-06-17",31,11,"d","yes","","",""
149,14,"2025-06-18",31,11,"d","yes","","",""
149,15,"2025-06-19",31,11,"d","yes","","",""
152,0,"2025-06-04",31,4,"a","no","","",""
152,1,"2025-06-05",31,4,"a","no","","",""
152,2,"2025-06-06",31,4,"a","no","","",""
152,3,"2025-06-07",31,4,"a","yes","","",""
152,4,"2025-06-08",31,4,"a","yes","","",""
152,5,"2025-06-09",31,4,"a","yes","","",""
152,6,"2025-06-10",31,4,"a","yes","","",""
152,7,"2025-06-11",31,4,"a","yes","","",""
152,8,"2025-06-12",31,4,"a","yes","","",""
152,9,"2025-06-13",31,4,"a","yes","","",""
152,10,"2025-06-14",31,4,"a","yes","","",""
152,11,"2025-06-15",31,4,"a","yes","","",""
152,12,"2025-06-16",31,4,"a","yes","","",""
152,13,"2025-06-17",31,4,"a","yes","","",""
152,14,"2025-06-18",31,4,"a","yes","","",""
152,15,"2025-06-19",31,4,"a","yes","","",""
166,0,"2025-06-04",28,9,"a","no","","",""
166,1,"2025-06-05",28,9,"a","no","","",""
166,2,"2025-06-06",28,9,"a","no","","",""
166,3,"2025-06-07",28,9,"a","no","","",""
166,4,"2025-06-08",28,9,"a","yes","","",""
166,5,"2025-06-09",28,9,"a","yes","","",""
166,6,"2025-06-10",28,9,"a","yes","","",""
166,7,"2025-06-11",28,9,"a","yes","","",""
166,8,"2025-06-12",28,9,"a","yes","","",""
166,9,"2025-06-13",28,9,"a","yes","","",""
166,10,"2025-06-14",28,9,"a","yes","","",""
166,11,"2025-06-15",28,9,"a","yes","","",""
166,12,"2025-06-16",28,9,"a","yes","","",""
166,13,"2025-06-17",28,9,"a","yes","","",""
166,14,"2025-06-18",28,9,"a","yes","","",""
166,15,"2025-06-19",28,9,"a","yes","","",""
170,0,"2025-06-04",31,5,"a","no","","",""
170,1,"2025-06-05",31,5,"a","no","","",""
170,2,"2025-06-06",31,5,"a","no","","",""
170,3,"2025-06-07",31,5,"a","yes","","",""
170,4,"2025-06-08",31,5,"a","yes","","",""
170,5,"2025-06-09",31,5,"a","yes","","",""
170,6,"2025-06-10",31,5,"a","yes","","",""
170,7,"2025-06-11",31,5,"a","yes","","",""
170,8,"2025-06-12",31,5,"a","yes","","",""
170,9,"2025-06-13",31,5,"a","yes","","",""
170,10,"2025-06-14",31,5,"a","yes","","",""
170,11,"2025-06-15",31,5,"a","yes","","",""
170,12,"2025-06-16",31,5,"a","yes","","",""
170,13,"2025-06-17",31,5,"a","yes","","",""
170,14,"2025-06-18",31,5,"a","yes","","",""
170,15,"2025-06-19",31,5,"a","yes","","",""
172,0,"2025-06-04",28,3,"a","no","","",""
172,1,"2025-06-05",28,3,"a","no","","",""
172,2,"2025-06-06",28,3,"a","no","","",""
172,3,"2025-06-07",28,3,"a","yes","","",""
172,4,"2025-06-08",28,3,"a","yes","","",""
172,5,"2025-06-09",28,3,"a","yes","","",""
172,6,"2025-06-10",28,3,"a","yes","","",""
172,7,"2025-06-11",28,3,"a","yes","","",""
172,8,"2025-06-12",28,3,"a","yes","","",""
172,9,"2025-06-13",28,3,"a","yes","","",""
172,10,"2025-06-14",28,3,"a","yes","","",""
172,11,"2025-06-15",28,3,"a","yes","","",""
172,12,"2025-06-16",28,3,"a","yes","","",""
172,13,"2025-06-17",28,3,"a","yes","","",""
172,14,"2025-06-18",28,3,"a","yes","","",""
172,15,"2025-06-19",28,3,"a","yes","","",""
174,0,"2025-06-04",31,11,"a","no","","",""
174,1,"2025-06-05",31,11,"a","no","","",""
174,2,"2025-06-06",31,11,"a","no","","",""
174,3,"2025-06-07",31,11,"a","yes","","",""
174,4,"2025-06-08",31,11,"a","yes","","",""
174,5,"2025-06-09",31,11,"a","yes","","",""
174,6,"2025-06-10",31,11,"a","yes","","",""
174,7,"2025-06-11",31,11,"a","yes","","",""
174,8,"2025-06-12",31,11,"a","yes","","",""
174,9,"2025-06-13",31,11,"a","yes","","",""
174,10,"2025-06-14",31,11,"a","yes","","",""
174,11,"2025-06-15",31,11,"a","yes","","",""
174,12,"2025-06-16",31,11,"a","yes","","",""
174,13,"2025-06-17",31,11,"a","yes","","",""
174,14,"2025-06-18",31,11,"a","yes","","",""
174,15,"2025-06-19",31,11,"a","yes","","",""
175,0,"2025-06-04",31,10,"a","no","","",""
175,1,"2025-06-05",31,10,"a","no","","",""
175,2,"2025-06-06",31,10,"a","no","","",""
175,3,"2025-06-07",31,10,"a","no","","",""
175,4,"2025-06-08",31,10,"a","yes","","",""
175,5,"2025-06-09",31,10,"a","yes","","",""
175,6,"2025-06-10",31,10,"a","yes","","",""
175,7,"2025-06-11",31,10,"a","yes","","",""
175,8,"2025-06-12",31,10,"a","yes","","",""
175,9,"2025-06-13",31,10,"a","yes","","",""
175,10,"2025-06-14",31,10,"a","yes","","",""
175,11,"2025-06-15",31,10,"a","yes","","",""
175,12,"2025-06-16",31,10,"a","yes","","",""
175,13,"2025-06-17",31,10,"a","yes","","",""
175,14,"2025-06-18",31,10,"a","yes","","",""
175,15,"2025-06-19",31,10,"a","yes","","",""
177,0,"2025-06-04",28,12,"a","no","","",""
177,1,"2025-06-05",28,12,"a","no","","",""
177,2,"2025-06-06",28,12,"a","no","","",""
177,3,"2025-06-07",28,12,"a","yes","","",""
177,4,"2025-06-08",28,12,"a","yes","","",""
177,5,"2025-06-09",28,12,"a","yes","","",""
177,6,"2025-06-10",28,12,"a","yes","","",""
177,7,"2025-06-11",28,12,"a","yes","","",""
177,8,"2025-06-12",28,12,"a","yes","","",""
177,9,"2025-06-13",28,12,"a","yes","","",""
177,10,"2025-06-14",28,12,"a","yes","","",""
177,11,"2025-06-15",28,12,"a","yes","","",""
177,12,"2025-06-16",28,12,"a","yes","","",""
177,13,"2025-06-17",28,12,"a","yes","","",""
177,14,"2025-06-18",28,12,"a","yes","","",""
177,15,"2025-06-19",28,12,"a","yes","","",""
179,0,"2025-06-04",28,6,"a","no","","",""
179,1,"2025-06-05",28,6,"a","no","","",""
179,2,"2025-06-06",28,6,"a","no","","",""
179,3,"2025-06-07",28,6,"a","no","","",""
179,4,"2025-06-08",28,6,"a","yes","","",""
179,5,"2025-06-09",28,6,"a","yes","","",""
179,6,"2025-06-10",28,6,"a","yes","","",""
179,7,"2025-06-11",28,6,"a","yes","","",""
179,8,"2025-06-12",28,6,"a","yes","","",""
179,9,"2025-06-13",28,6,"a","yes","","",""
179,10,"2025-06-14",28,6,"a","yes","","",""
179,11,"2025-06-15",28,6,"a","yes","","",""
179,12,"2025-06-16",28,6,"a","yes","","",""
179,13,"2025-06-17",28,6,"a","yes","","",""
179,14,"2025-06-18",28,6,"a","yes","","",""
179,15,"2025-06-19",28,6,"a","yes","","",""
