species,thicket ,id,sample,wound,tank,treatment,biopsy_day,biopsy_date,average,Coral ID,id,calculated_SA_standard_curve,slurry volume (mL)
a. pulchra,a,135.0,gene ,yes,6.0,28.0,10.0,2025-06-14 00:00:00,55.5625,135.0,135.0,5.9524,10.0
a. pulchra,a,137.0,gene ,no,9.0,28.0,10.0,2025-06-14 00:00:00,47.8125,137.0,137.0,5.4179,10.0
a. pulchra,a,189.0,gene ,yes,9.0,28.0,10.0,2025-06-05 00:00:00,29.5,189.0,189.0,3.6168,10.0
a. pulchra,a,191.0,gene ,yes,3.0,28.0,10.0,2025-06-07 00:00:00,31.4375,191.0,191.0,3.5064,10.0
a. pulchra,a,196.0,gene ,no,12.0,28.0,10.0,2025-06-14 00:00:00,34.6875,196.0,196.0,3.6458,10.0
a. pulchra,a,199.0,gene ,no,6.0,28.0,10.0,2025-06-05 00:00:00,50.9375,199.0,199.0,3.9189,10.0
a. pulchra,d,202.0,gene ,no,12.0,28.0,10.0,2025-06-07 00:00:00,40.125,202.0,202.0,4.8949,10.0
a. pulchra,d,204.0,gene ,no,3.0,28.0,10.0,2025-06-05 00:00:00,52.0625,204.0,204.0,5.8885,10.0
a. pulchra,a,213.0,gene ,yes,12.0,28.0,10.0,2025-06-07 00:00:00,43.125,213.0,213.0,6.6089,10.0
a. pulchra,d,217.0,gene ,no,9.0,28.0,10.0,2025-06-07 00:00:00,40.6875,217.0,217.0,4.006,10.0
a. pulchra,d,232.0,gene ,no,6.0,28.0,10.0,2025-06-14 00:00:00,35.625,232.0,232.0,3.1926,10.5
a. pulchra,d,237.0,gene ,yes,9.0,28.0,10.0,2025-06-14 00:00:00,46.0,237.0,237.0,5.383,10.0
a. pulchra,d,243.0,gene ,yes,12.0,28.0,10.0,2025-06-14 00:00:00,53.8125,243.0,243.0,5.0634,10.0
a. pulchra,d,248.0,gene ,yes,6.0,28.0,10.0,2025-06-05 00:00:00,38.0625,248.0,248.0,4.6103,10.0
a. pulchra,c,252.0,gene ,yes,12.0,28.0,10.0,2025-06-14 00:00:00,52.25,252.0,252.0,4.0002,10.0
a. pulchra,c,253.0,gene ,no,9.0,28.0,10.0,2025-06-05 00:00:00,57.5625,253.0,253.0,4.0118,10.0
a. pulchra,d,258.0,gene ,yes,3.0,28.0,10.0,2025-06-14 00:00:00,50.375,258.0,258.0,4.8601,10.0
a. pulchra,c,267.0,gene ,no,6.0,28.0,10.0,2025-06-14 00:00:00,67.3125,267.0,267.0,5.0576,10.0
a. pulchra,c,275.0,gene ,no,12.0,28.0,10.0,2025-06-14 00:00:00,56.0,275.0,275.0,4.4999,10.5
a. pulchra,c,279.0,gene ,no,3.0,28.0,10.0,2025-06-14 00:00:00,36.625,279.0,279.0,4.9705,10.0
a. pulchra,c,285.0,gene ,yes,9.0,28.0,10.0,2025-06-14 00:00:00,44.0,285.0,285.0,4.7788,10.0
a. pulchra,c,291.0,gene ,yes,3.0,28.0,10.0,2025-06-14 00:00:00,56.8125,291.0,291.0,6.3068,10.0
a. pulchra,c,292.0,gene ,yes,6.0,28.0,10.0,2025-06-14 00:00:00,48.5625,292.0,292.0,4.6567,10.0
a. pulchra,d,113.0,gene/physio,yes,3.0,28.0,15.0,2025-06-19 00:00:00,39.0,113.0,113.0,3.7911,10.0
a. pulchra,c,117.0,gene/physio,yes,6.0,28.0,15.0,2025-06-19 00:00:00,49.1875,117.0,117.0,3.8666,10.0
a. pulchra,d,118.0,gene/physio,yes,9.0,28.0,15.0,2025-06-19 00:00:00,37.8125,118.0,118.0,3.7213,10.0
a. pulchra,c,121.0,gene/physio,yes,9.0,28.0,15.0,2025-06-19 00:00:00,65.875,121.0,121.0,5.8885,10.0
a. pulchra,d,122.0,gene/physio,no,9.0,28.0,15.0,2025-06-19 00:00:00,32.125,122.0,122.0,4.2442,10.0
a. pulchra,c,123.0,gene/physio,no,6.0,28.0,15.0,2025-06-19 00:00:00,35.875,123.0,123.0,5.1041,10.0
a. pulchra,c,125.0,gene/physio,no,12.0,28.0,15.0,2025-06-19 00:00:00,60.5,125.0,125.0,4.2791,10.0
a. pulchra,c,129.0,gene/physio,yes,3.0,28.0,15.0,2025-06-19 00:00:00,31.875,129.0,129.0,4.7323,10.0
a. pulchra,c,130.0,gene/physio,yes,12.0,28.0,15.0,2025-06-19 00:00:00,51.25,130.0,130.0,5.6561,10.0
a. pulchra,c,131.0,gene/physio,no,9.0,28.0,15.0,2025-06-19 00:00:00,39.25,131.0,131.0,4.4069,10.0
a. pulchra,c,139.0,gene/physio,no,3.0,28.0,15.0,2025-06-19 00:00:00,47.1875,139.0,139.0,4.4883,10.0
a. pulchra,d,144.0,gene/physio,yes,12.0,28.0,15.0,2025-06-05 00:00:00,36.75,144.0,144.0,4.9182,10.0
a. pulchra,d,145.0,gene/physio,no,6.0,28.0,15.0,2025-06-19 00:00:00,25.1875,145.0,145.0,3.669,10.0
a. pulchra,d,146.0,gene/physio,yes,6.0,28.0,15.0,2025-06-19 00:00:00,43.75,146.0,146.0,4.7032,10.0
a. pulchra,d,147.0,gene/physio,no,12.0,28.0,15.0,2025-06-19 00:00:00,44.1875,147.0,147.0,4.68,10.0
a. pulchra,d,156.0,gene/physio,no,3.0,28.0,15.0,2025-06-07 00:00:00,33.25,156.0,156.0,3.0648,10.0
a. pulchra,a,162.0,gene/physio,no,3.0,28.0,15.0,2025-06-19 00:00:00,37.3125,162.0,162.0,3.1926,10.0
a. pulchra,a,166.0,gene/physio,yes,9.0,28.0,15.0,2025-06-19 00:00:00,36.375,166.0,166.0,4.8427,10.0
a. pulchra,a,169.0,gene/physio,no,6.0,28.0,15.0,2025-06-07 00:00:00,51.3125,169.0,169.0,6.4637,10.0
a. pulchra,a,172.0,gene/physio,yes,3.0,28.0,15.0,2025-06-05 00:00:00,25.0,172.0,172.0,4.7148,10.0
a. pulchra,a,173.0,gene/physio,no,9.0,28.0,15.0,2025-06-19 00:00:00,36.625,173.0,173.0,3.4192,10.0
a. pulchra,a,176.0,gene/physio,no,12.0,28.0,15.0,2025-06-19 00:00:00,32.625,176.0,176.0,2.8673,10.0
a. pulchra,a,177.0,gene/physio,yes,12.0,28.0,15.0,2025-06-19 00:00:00,36.875,177.0,177.0,3.425,10.0
a. pulchra,a,179.0,gene/physio,yes,6.0,28.0,15.0,2025-06-19 00:00:00,58.75,179.0,179.0,4.0118,10.0
a. pulchra,a,171.0,gene ,no,10.0,31.0,1.0,2025-06-19 00:00:00,26.0,171.0,171.0,3.8201,10.0
a. pulchra,a,181.0,gene ,yes,11.0,31.0,1.0,2025-06-14 00:00:00,39.875,181.0,181.0,3.3785,10.0
a. pulchra,a,182.0,gene ,no,4.0,31.0,1.0,2025-06-05 00:00:00,27.1875,182.0,182.0,4.7788,10.0
a. pulchra,a,183.0,gene ,yes,5.0,31.0,1.0,2025-06-05 00:00:00,18.375,183.0,183.0,5.1099,10.0
a. pulchra,a,188.0,gene ,no,11.0,31.0,1.0,2025-06-07 00:00:00,17.75,188.0,188.0,6.2196,10.0
a. pulchra,a,197.0,gene ,yes,4.0,31.0,1.0,2025-06-14 00:00:00,20.625,197.0,197.0,3.7155,10.0
a. pulchra,a,198.0,gene ,no,5.0,31.0,1.0,2025-06-05 00:00:00,27.125,198.0,198.0,3.9886,10.0
a. pulchra,d,200.0,gene ,no,5.0,31.0,1.0,2025-06-14 00:00:00,34.0625,200.0,200.0,5.0518,10.0
a. pulchra,a,210.0,gene ,yes,10.0,31.0,1.0,2025-06-05 00:00:00,23.5,210.0,210.0,3.2798,10.0
a. pulchra,d,224.0,gene ,yes,4.0,31.0,1.0,2025-06-07 00:00:00,32.0625,224.0,224.0,5.0576,10.0
a. pulchra,d,226.0,gene ,yes,5.0,31.0,1.0,2025-06-05 00:00:00,32.75,226.0,226.0,5.2203,10.0
a. pulchra,d,228.0,gene ,yes,11.0,31.0,1.0,2025-06-05 00:00:00,39.375,228.0,228.0,4.6277,10.0
a. pulchra,d,244.0,gene ,no,11.0,31.0,1.0,2025-06-07 00:00:00,36.0,244.0,244.0,4.3488,10.0
a. pulchra,d,249.0,gene ,no,4.0,31.0,1.0,2025-06-07 00:00:00,47.0625,249.0,249.0,4.1106,10.0
a. pulchra,c,254.0,gene ,yes,10.0,31.0,1.0,2025-06-07 00:00:00,29.75,254.0,254.0,6.1673,10.0
a. pulchra,d,256.0,gene ,yes,10.0,31.0,1.0,2025-06-05 00:00:00,45.75,256.0,256.0,7.9394,10.0
a. pulchra,d,259.0,gene ,no,10.0,31.0,1.0,2025-06-05 00:00:00,18.75,259.0,259.0,3.2914,10.0
a. pulchra,c,262.0,gene ,no,10.0,31.0,1.0,2025-06-05 00:00:00,66.25,262.0,262.0,4.7265,10.0
a. pulchra,c,263.0,gene ,yes,5.0,31.0,1.0,2025-06-05 00:00:00,35.9375,263.0,263.0,4.4766,10.0
a. pulchra,c,264.0,gene ,no,11.0,31.0,1.0,2025-06-05 00:00:00,34.3125,264.0,264.0,4.7148,10.0
a. pulchra,c,274.0,gene ,no,4.0,31.0,1.0,2025-06-05 00:00:00,45.0,274.0,274.0,4.3314,10.0
a. pulchra,c,276.0,gene ,yes,4.0,31.0,1.0,2025-06-05 00:00:00,38.1875,276.0,276.0,4.128,10.0
a. pulchra,c,278.0,gene ,no,5.0,31.0,1.0,2025-06-05 00:00:00,46.9375,278.0,278.0,4.9647,10.0
a. pulchra,c,300.0,gene ,yes,11.0,31.0,1.0,2025-06-05 00:00:00,34.875,300.0,300.0,4.587,10.0
a. pulchra,a,112.0,gene ,yes,11.0,31.0,3.0,2025-06-07 00:00:00,24.125,112.0,112.0,5.8071,10.0
a. pulchra,a,138.0,gene ,yes,4.0,31.0,3.0,2025-06-07 00:00:00,11.8125,138.0,138.0,3.4715,10.0
a. pulchra,a,153.0,gene ,no,5.0,31.0,3.0,2025-06-19 00:00:00,19.3125,153.0,153.0,4.9124,10.0
a. pulchra,a,155.0,gene ,no,10.0,31.0,3.0,2025-06-19 00:00:00,20.5,155.0,155.0,3.0822,10.0
a. pulchra,a,168.0,gene ,no,11.0,31.0,3.0,2025-06-07 00:00:00,37.5,168.0,168.0,3.977,10.0
a. pulchra,d,185.0,gene ,no,11.0,31.0,3.0,2025-06-14 00:00:00,17.75,185.0,185.0,5.993,10.0
a. pulchra,a,193.0,gene ,yes,10.0,31.0,3.0,2025-06-05 00:00:00,14.0625,193.0,193.0,4.5638,10.0
a. pulchra,d,206.0,gene ,yes,4.0,31.0,3.0,2025-06-14 00:00:00,31.625,206.0,206.0,5.3423,10.0
a. pulchra,a,211.0,gene ,no,4.0,31.0,3.0,2025-06-05 00:00:00,27.875,211.0,211.0,4.1978,10.0
a. pulchra,a,212.0,gene ,yes,5.0,31.0,3.0,2025-06-07 00:00:00,72.75,212.0,212.0,3.7271,10.0
a. pulchra,d,216.0,gene ,yes,10.0,31.0,3.0,2025-06-14 00:00:00,31.375,216.0,216.0,5.2552,10.0
a. pulchra,d,219.0,gene ,yes,11.0,31.0,3.0,2025-06-07 00:00:00,16.6875,219.0,219.0,3.9305,10.0
a. pulchra,d,221.0,gene ,yes,5.0,31.0,3.0,2025-06-07 00:00:00,20.0,221.0,221.0,3.7678,10.0
a. pulchra,d,236.0,gene ,no,4.0,31.0,3.0,2025-06-07 00:00:00,27.6875,236.0,236.0,5.0518,10.5
a. pulchra,d,239.0,gene ,no,5.0,31.0,3.0,2025-06-07 00:00:00,26.125,239.0,239.0,4.9995,10.0
a. pulchra,d,241.0,gene ,no,10.0,31.0,3.0,2025-06-07 00:00:00,13.875,241.0,241.0,4.4185,10.0
a. pulchra,c,255.0,gene ,no,10.0,31.0,3.0,2025-06-14 00:00:00,44.4375,255.0,255.0,4.5057,10.0
a. pulchra,c,265.0,gene ,yes,11.0,31.0,3.0,2025-06-07 00:00:00,48.1875,265.0,265.0,5.5224,10.0
a. pulchra,c,266.0,gene ,yes,10.0,31.0,3.0,2025-06-07 00:00:00,35.3125,266.0,266.0,5.72,10.0
a. pulchra,c,270.0,gene ,yes,5.0,31.0,3.0,2025-06-07 00:00:00,23.375,270.0,270.0,3.6923,10.0
a. pulchra,c,284.0,gene ,no,11.0,31.0,3.0,2025-06-07 00:00:00,40.6875,284.0,284.0,4.2268,10.0
a. pulchra,c,289.0,gene ,no,4.0,31.0,3.0,2025-06-07 00:00:00,32.75,289.0,289.0,4.1745,10.0
a. pulchra,c,295.0,gene ,yes,4.0,31.0,3.0,2025-06-07 00:00:00,38.0625,295.0,295.0,4.5173,10.25
a. pulchra,c,297.0,gene ,no,5.0,31.0,3.0,2025-06-07 00:00:00,42.375,297.0,297.0,4.9821,10.0
a. pulchra,a,136.0,gene ,yes,4.0,31.0,10.0,2025-06-14 00:00:00,8.5625,136.0,136.0,3.1752,10.0
a. pulchra,a,142.0,gene ,no,4.0,31.0,10.0,2025-06-14 00:00:00,7.375,142.0,142.0,4.6742,10.0
a. pulchra,a,158.0,gene ,no,10.0,31.0,10.0,2025-06-07 00:00:00,10.3125,158.0,158.0,5.3191,10.0
a. pulchra,a,180.0,gene ,no,5.0,31.0,10.0,2025-06-19 00:00:00,7.0625,180.0,180.0,6.8297,10.0
a. pulchra,a,184.0,gene ,yes,5.0,31.0,10.0,2025-06-05 00:00:00,7.1875,184.0,184.0,3.7271,10.0
a. pulchra,d,186.0,gene ,yes,10.0,31.0,10.0,2025-06-07 00:00:00,15.0,186.0,186.0,5.29,10.0
a. pulchra,a,195.0,gene ,yes,11.0,31.0,10.0,2025-06-07 00:00:00,15.8125,195.0,195.0,5.7432,10.0
a. pulchra,d,205.0,gene ,no,10.0,31.0,10.0,2025-06-14 00:00:00,17.3125,205.0,205.0,5.1738,10.0
a. pulchra,a,207.0,gene ,no,11.0,31.0,10.0,2025-06-07 00:00:00,13.375,207.0,207.0,5.4818,10.0
a. pulchra,a,214.0,gene ,yes,10.0,31.0,10.0,2025-06-14 00:00:00,13.9375,214.0,214.0,5.1448,10.0
a. pulchra,d,215.0,gene ,yes,4.0,31.0,10.0,2025-06-14 00:00:00,37.1875,215.0,215.0,4.3779,10.0
a. pulchra,d,225.0,gene ,no,11.0,31.0,10.0,2025-06-05 00:00:00,21.625,225.0,225.0,5.1041,10.0
a. pulchra,d,230.0,gene ,no,4.0,31.0,10.0,2025-06-14 00:00:00,13.1875,230.0,230.0,5.7548,10.0
a. pulchra,d,233.0,gene ,no,5.0,31.0,10.0,2025-06-14 00:00:00,3.5625,233.0,233.0,5.3539,10.0
a. pulchra,d,235.0,gene ,yes,5.0,31.0,10.0,2025-06-14 00:00:00,9.0,235.0,235.0,7.1841,10.0
a. pulchra,d,240.0,gene ,yes,11.0,31.0,10.0,2025-06-14 00:00:00,23.5625,240.0,240.0,4.6335,11.5
a. pulchra,c,251.0,gene ,yes,5.0,31.0,10.0,2025-06-14 00:00:00,30.125,251.0,251.0,4.587,10.0
a. pulchra,c,260.0,gene ,yes,4.0,31.0,10.0,2025-06-14 00:00:00,40.875,260.0,260.0,5.9756,10.0
a. pulchra,c,269.0,gene ,yes,11.0,31.0,10.0,2025-06-14 00:00:00,55.375,269.0,269.0,5.9059,10.0
a. pulchra,c,277.0,gene ,no,5.0,31.0,10.0,2025-06-14 00:00:00,20.375,277.0,277.0,3.8492,10.0
a. pulchra,c,283.0,gene ,yes,10.0,31.0,10.0,2025-06-14 00:00:00,24.4375,283.0,283.0,5.6561,10.0
a. pulchra,c,286.0,gene ,no,10.0,31.0,10.0,2025-06-14 00:00:00,23.3125,286.0,286.0,6.2719,10.0
a. pulchra,c,293.0,gene ,no,4.0,31.0,10.0,2025-06-14 00:00:00,35.0625,293.0,293.0,5.5805,10.0
a. pulchra,c,299.0,gene ,no,11.0,31.0,10.0,2025-06-14 00:00:00,40.8125,299.0,299.0,4.0525,10.0
a. pulchra,d,110.0,gene/physio,yes,10.0,31.0,15.0,2025-06-19 00:00:00,4.3125,110.0,110.0,5.0634,10.0
a. pulchra,c,115.0,gene/physio,yes,5.0,31.0,15.0,2025-06-19 00:00:00,22.25,115.0,115.0,4.8194,10.0
a. pulchra,c,116.0,gene/physio,yes,11.0,31.0,15.0,2025-06-19 00:00:00,17.5,116.0,116.0,5.5805,10.0
a. pulchra,c,119.0,gene/physio,no,10.0,31.0,15.0,2025-06-19 00:00:00,25.5625,119.0,119.0,5.4295,10.0
a. pulchra,d,120.0,gene/physio,no,10.0,31.0,15.0,2025-06-19 00:00:00,0.875,120.0,120.0,3.303,10.0
a. pulchra,c,124.0,gene/physio,no,5.0,31.0,15.0,2025-06-19 00:00:00,11.1875,124.0,124.0,4.0409,10.0
a. pulchra,d,126.0,gene/physio,yes,5.0,31.0,15.0,2025-06-19 00:00:00,1.8125,126.0,126.0,4.0641,10.0
a. pulchra,c,127.0,gene/physio,no,11.0,31.0,15.0,2025-06-19 00:00:00,20.0625,127.0,127.0,3.8898,10.0
a. pulchra,d,128.0,gene/physio,no,11.0,31.0,15.0,2025-06-19 00:00:00,5.9375,128.0,128.0,4.6742,10.0
a. pulchra,c,132.0,gene/physio,no,10.0,31.0,15.0,2025-06-19 00:00:00,13.125,132.0,132.0,4.924,10.0
a. pulchra,c,133.0,gene/physio,yes,4.0,31.0,15.0,2025-06-19 00:00:00,17.3125,133.0,133.0,4.4418,10.0
a. pulchra,c,141.0,gene/physio,no,4.0,31.0,15.0,2025-06-19 00:00:00,12.8125,141.0,141.0,4.7207,10.0
a. pulchra,d,143.0,gene/physio,yes,4.0,31.0,15.0,2025-06-19 00:00:00,3.6875,143.0,143.0,4.9008,10.0
a. pulchra,d,149.0,gene/physio,yes,11.0,31.0,15.0,2025-06-05 00:00:00,10.9375,149.0,149.0,4.5754,10.0
a. pulchra,d,150.0,gene/physio,no,4.0,31.0,15.0,2025-06-19 00:00:00,4.4375,150.0,150.0,4.4883,10.0
a. pulchra,a,152.0,gene/physio,yes,4.0,31.0,15.0,2025-06-05 00:00:00,8.375,152.0,152.0,4.4999,10.0
a. pulchra,d,154.0,gene/physio,no,5.0,31.0,15.0,2025-06-07 00:00:00,1.5,154.0,154.0,4.5464,10.0
a. pulchra,a,161.0,gene/physio,no,5.0,31.0,15.0,2025-06-07 00:00:00,0.5625,161.0,161.0,4.2617,10.0
a. pulchra,a,163.0,gene/physio,no,11.0,31.0,15.0,2025-06-19 00:00:00,24.9375,163.0,163.0,3.8492,10.0
a. pulchra,a,165.0,gene/physio,no,4.0,31.0,15.0,2025-06-05 00:00:00,2.25,165.0,165.0,6.7483,10.0
a. pulchra,a,170.0,gene/physio,yes,5.0,31.0,15.0,2025-06-19 00:00:00,0.8125,170.0,170.0,5.0751,10.0
a. pulchra,a,174.0,gene/physio,yes,11.0,31.0,15.0,2025-06-19 00:00:00,13.9375,174.0,174.0,4.0409,10.0
a. pulchra,a,175.0,gene/physio,yes,10.0,31.0,15.0,2025-06-19 00:00:00,0.75,175.0,175.0,3.9131,10.0
a. pulchra,a,178.0,gene/physio,no,10.0,31.0,15.0,2025-06-19 00:00:00,2.4375,178.0,178.0,4.25,10.0
